title,source,SSR,SRR,cost,shift,scale
Girls Under Glass - We Feel Alright,drums,21.97868659069084,9.80622585225775,6.980333211519559,"[[0. 0.]
 [0. 0.]]","[[0.83144254 0.05300922]
 [0.22212244 0.68128557]]"
Girls Under Glass - We Feel Alright,other,16.277512700146836,5.847848876185614,8.040335725059697,"[[0. 0.]
 [0. 0.]]","[[ 0.90606824 -0.04193613]
 [-0.02174079  0.86669356]]"
Girls Under Glass - We Feel Alright,vocals,0.0,-80.0,1.5580058813896254,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Hollow Ground - Ill Fate,bass,10.791754881354246,1.816641231525503,11.27352462633491,"[[ 0. -7.]
 [ 7.  0.]]","[[ 0.53683287  0.16625729]
 [-0.07857361  0.8730626 ]]"
Hollow Ground - Ill Fate,drums,15.309133055525464,7.2841213714630815,5.6259136484212044,"[[0. 0.]
 [0. 0.]]","[[ 0.87193184 -0.02437264]
 [ 0.08011057  0.70214417]]"
Hollow Ground - Ill Fate,other,10.516972864898674,5.296436693884311,10.993664359355753,"[[0. 0.]
 [0. 0.]]","[[ 0.72610275 -0.012159  ]
 [-0.03308831  0.72878275]]"
Hollow Ground - Ill Fate,vocals,13.602130311874168,5.757471739722492,3.4976677839816013,"[[0. 0.]
 [0. 0.]]","[[0.         0.        ]
 [0.00086412 0.        ]]"
James Elder & Mark M Thompson - The English Actor,bass,8.137236853761623,2.0392918185882847,1.810645276719332,"[[  0.  22.]
 [-27.   0.]]","[[0.81502428 0.        ]
 [0.04976133 0.22205772]]"
James Elder & Mark M Thompson - The English Actor,drums,28.936778339970264,13.447877011005648,2.5048269506433596,"[[0. 0.]
 [0. 0.]]","[[0.94230088 0.01760273]
 [0.02599425 0.94151465]]"
James Elder & Mark M Thompson - The English Actor,other,20.170755263500126,8.414949137415034,7.943139604571167,"[[0. 0.]
 [0. 0.]]","[[0.88212817 0.01570369]
 [0.00332911 0.91880639]]"
James Elder & Mark M Thompson - The English Actor,vocals,8.582187771701001,3.29772316412716,3.1327413758539078,"[[0. 0.]
 [0. 0.]]","[[0.47893913 0.02468699]
 [0.03274918 0.41432435]]"
Juliet's Rescue - Heartbeats,bass,10.306610252178867,6.460841618519728,3.125277739659925,"[[0. 0.]
 [0. 0.]]","[[0.55054344 0.11322285]
 [0.02904217 0.71107088]]"
Juliet's Rescue - Heartbeats,drums,32.68211779343956,17.248454566498005,2.9596041000312403,"[[0. 0.]
 [0. 0.]]","[[0.81510996 0.12268814]
 [0.09244347 0.8738956 ]]"
Juliet's Rescue - Heartbeats,other,21.47506909825176,10.382988037485132,5.816916054840439,"[[0. 0.]
 [0. 0.]]","[[ 0.91922566 -0.00781527]
 [-0.00539646  0.89781899]]"
Juliet's Rescue - Heartbeats,vocals,18.64727971517345,8.760425911625576,2.8749549710784623,"[[0. 0.]
 [0. 0.]]","[[0.89414485 0.        ]
 [0.         0.87669471]]"
Little Chicago's Finest - My Own,bass,30.508195297967866,17.591453138367385,0.7001800574275214,"[[  0. -27.]
 [ 28.   1.]]","[[0.91365366 0.01864806]
 [0.05099804 0.88725117]]"
Little Chicago's Finest - My Own,drums,10.265547010785582,1.5302376210176476,13.702661327551844,"[[ 0.  1.]
 [-1.  0.]]","[[0.29214124 0.34127777]
 [0.29781613 0.51268682]]"
Little Chicago's Finest - My Own,other,16.464321653796134,-4.427379898646607,8.446160794890087,"[[  0. -49.]
 [ 48.   0.]]","[[ 0.8705669  -0.02709252]
 [-0.02641802  0.87839034]]"
Little Chicago's Finest - My Own,vocals,31.468793350867976,14.894606134260325,1.9444707410552153,"[[0. 0.]
 [0. 0.]]","[[0.94992367 0.02153796]
 [0.02454286 0.93788473]]"
